"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"	"RANGE_HIGH"	"RANGE_LOW"	"SCREEN_PASS"	"UNITS"	"VAR_TYPE"
"AG_ECO3"	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions.  No missing values allowed."	"EHIGH|PLNLOW|WMTNS|"					
"AG_ECO9"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions.  No missing values allowed."	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|"					
"ASPLAN_BIO"	"Biomass represented by individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)"		"1500"	"0"			
"ASPLAN_DEN"	"Density (indiv./L) of individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)"		"1500"	"0"			
"ASPLAN_NTAX"	"Number of distinct taxa within the rotifer family Asplanchnidae (coarse and fine net samples combined)"		"10"	"0"			
"ASPLAN_PBIO"	"Percent of biomass represented by individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)"		"100"	"0"			
"ASPLAN_PDEN"	"Percent of density (indiv./L) of individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)"		"100"	"0"			
"ASPLAN_PIND"	"Percent of individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)"		"100"	"0"			
"ASPLAN_PTAX"	"Percent of distinct taxa within the rotifer family Asplanchnidae (coarse and fine net samples combined)"		"100"	"0"			
"ASPLAN300_BIO"	"Biomass represented by individuals within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net subsamples combined)"		"100"	"0"			
"ASPLAN300_NTAX"	"Number of distinct taxa within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net samples combined)"		"10"	"0"			
"ASPLAN300_PBIO"	"Percent of biomass represented by individuals within the rotifer family Asplanchnidae  in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"ASPLAN300_PIND"	"Percent of individuals within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
