"COLUMN_NAME"	"LABEL"	"LEGAL_TABLE_VALUES"	"LEGAL_VALUES"	"RANGE_HIGH"	"RANGE_LOW"	"UNITS"	"VAR_TYPE"
"ABUNDANCE_TOTAL"	"Total number of organisms in taxon in sample"						
"AG_ECO3"	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions.  No missing values allowed."		"EHIGH|PLNLOW|WMTNS|"				
"AG_ECO9"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions.  No missing values allowed."		"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|"				
"ANALYST"	"Taxonomist"						
"BIOMASS_FACTOR"	"Average biomass per taxa (ug dry weight)"						
"CLASS"	"Class of taxon"						
"CONCENTRATED_VOLUME"	"Laboratory starting volume (mL)"						
"DATE_COL"	"Date of sample collection"					"None"	
"ECO_BIO"	"Five aggregated ecoregions as used in NLA (CPL, EHIGH, PLAINS, UMW, WMTNS)"						
"FAMILY"	"Family of taxon"						
"GENUS"	"Genus of taxon"						
"IMMATURE"	"Specimens immature (Y/blank)"						
"LAB"	"Laboratory"						
"ORDER"	"Order of taxon"						
"PHYLUM"	"Phylum of taxon"						
"PSTL_CODE"	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."						
"REP"	"Numeric value used to separate multiple instances of the same taxon in raw sample data. Later combined in zooplankton counts into a single row."						
"SAMPLE_TYPE"	"Code identifying sample type: ZOCN = coarse mesh net (150 µm); ZOCR = coarse mesh net (243 µm); ZOFN = fine mesh net (50 µm); ZOFR = fine mesh net (80 µm)"		"ZOCN|ZOCR|ZOFN|ZOFR"				
"SITE_ID"	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."						
"SITETYPE"	"Site type (Probability-based or hand-picked)"		"PROB|HAND|"				
"SPECIES"	"Species of taxon"						
"SUBSPECIES"	"Subspecies name"					"None"	
"TARGET_TAXON"	"Name of taxon at target taxon level"						
"TAXA_ID"	"Taxonomic ID number"						
"TAXANAME"	"Original name of taxon "						
"TOW_VOLUME"	"Estimated volume of water filtered by plankton tow net"					"L"	
"UID"	"Unique identifier for the site/visit"						
"UNIQUE_ID"	"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. Includes both PROB and HAND lake types"						
"VISIT_NO"	"Sequential number of visit to site"		"|1|2"				
"VOLUME_COUNTED"	"Actual volume counted (mL)"						
