"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"	"RANGE_HIGH"	"RANGE_LOW"	"SCREEN_PASS"	"UNITS"	"VAR_TYPE"
"ABUN_PT"	"Abundance metric score for zooplankton MMI"		"10"	"0"		"None"	
"AG_ECO3"	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions.  No missing values allowed."	"EHIGH|PLNLOW|WMTNS|"					
"AG_ECO9"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions.  No missing values allowed."	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|"					
"CLAD_PT"	"Cladocera metric score for zooplankton MMI"		"10"	"0"		"None"	
"COPE_PT"	"Copepod metric score for zooplankton MMI"		"10"	"0"		"None"	
"DATE_COL"	"Date of sample collection"					"None"	
"ECO_BIO"	"Five aggregated ecoregions as used in NLA (CPL, EHIGH, PLAINS, UMW, WMTNS)"						
"MMI_ZOOP_2017"	"Zooplankton MMI score based on 2017 revision and tow volume corrections."						
"PSTL_CODE"	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."						
"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"	"0"					
"RICH_PT"	"Taxa richness metric score"		"10"	"0"		"NONE"	
"ROTI_PT"	"Rotifer metric score for zooplankton MMI"		"10"	"0"		"None"	
"SITE_ID"	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."						
"SITETYPE"	"Site type (Probability-based or hand-picked)"	"PROB|HAND|"					
"TROP_PT"	"Trophic metric score for zooplankton MMI"		"10"	"0"		"None"	
"UID"	"Unique identifier for the site/visit"	"0"					
"UNIQUE_ID"	"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. Includes both PROB and HAND lake types"						
"VISIT_NO"	"Sequential number of visit to site"	"|1|2"					
"ZOOP_MMI_COND_2017"	"Condition class based on 2017 updated zooplankton MMI scores (following tow volume corrections)"	"Good|Fair|Poor|Not Assessed"					
