COLUMN_NAME	LABEL	LEGAL_VALUES
ACID_COND	Acidity condition class	Good|Fair|Poor|Not Assessed
AG_ECO3	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions.  No missing values allowed."	EHIGH|PLNLOW|WMTNS|
AG_ECO3_NM	NARS 3-level reporting region Name.  No missing values allowed.	Eastern Highlands|Plains and Lowlands|West|
AG_ECO9	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions.  No missing values allowed."	CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|
AG_ECO9_NM	NARS 9-level reporting region Name.  No missing values allowed.	Coastal Plains|Northern Appalachians|Northern Plains|Southern Appalachians|Southern Plains|Temperate Plains|Upper Midwest|Western Mountains|Xeric|
ANC_MDL	Method detection limit of Acid Neutralizing Capacity (ueq/L)	NA
ANC_NARS_FLAG	"Flag assigned by NARS for Acid Neutralizing Capacity. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence , NR = No lab result for analyte"	NA
ANC_RESULT	Analyte value: acid neutralizing capacity	NA
AREA_CAT6	Lake area categories (6) used in most NLA survey designs. HAND sites also assigned area category. Based on AREA_HA.  No missing values allowed.	"(0,1]| (1,4]| (4,10]|(10,20]| (20,50]|  >50|"
ATRAZINE_MDL	Method detection limit	NA
ATRAZINE_NARS_FLAG	"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte"	NA
ATRAZINE_RESULT	Value of associated parameter	NA
ATZ_DETECT	Atrazine Detection	Detected|Not Detected|Not Assessed
ATZ_EPA_COND_3.4	Condition based on Atrazine concentration and 3.4 ppb benchmark	At or Below Benchmark|Above Benchmark|Not Assessed
BENT_MMI_COND_2017	Condition class based on 2017 updated benthic MMI scores	Good|Fair|Poor|Not Assessed
BFXHORIZDIST_DD	horizontal distance to drawdown zone using horiz_dist_dd (mean(horiz_dist_dd))	NA
BFXVERTHEIGHT_DD	vertical height to drawdown zone using vert_height_dd (mean(vert_height_dd))	NA
CHLA_COND	"Condition for Chlorophyll a indicator, based on CHLX"	NA
CHLA_MDL	Method detection limit of chlorophyll-a	NA
CHLA_NARS_FLAG	"Flag assigned by NARS for Chlorophyll a. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence , NR = No lab result for analyte"	NA
CHLA_RESULT	Analyte value: chlorophyll-a	NA
COND_MDL	Minimum detection limit of analyte for Conductivity	NA
COND_NARS_FLAG	"NARS FLAG. ND = Nondetect; H = holding time issue; S = shipping issue; L = Less than reporting limit but above MDL; Q = other quality issue. See NARS_COMMENT, NR = No lab result for analyte for Conductivity"	NA
COND_RESULT	Analyte value: conductivity	NA
CYLSPER_DETECT	Cylindrospermopsin Detection	Detected|Not Detected|Not Assessed
CYLSPER_EPA_COND	Cylindrospermopsin condition based on EPA benchmark	Above Benchmark|At or Below Benchmark|Not Assessed
CYLSPER_MDL	Method detection limit for Cylindrospermopsin (ug/L)	NA
CYLSPER_NARS_FLAG	"Flag assigned by NARS for Cylindrospermopsin. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence , NR = No lab result for analyte"	NA
CYLSPER_RESULT	Result for Cylindrospermopsin (ug/L)	NA
DIS_O2_CLS	Dissolved oxygen condition class	High (>=5 Ppm)|Moderate (>3-<5 Ppm)|Low (<=3 Ppm)|Not Assessed
DOC_MDL	Method detection limit of dissolved organic carbon	NA
DOC_NARS_FLAG	"Flag assigned by NARS for Dissolved Organic Carbon. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence , NR = No lab result for analyte"	NA
DOC_RESULT	Analyte value: dissolved organic carbon	NA
DO_SURF	Dissolved oxygen in top 2 m (mg/L)	NA
