COLUMN_NAME	TABLE_NAME	SAMPLE_TYPE	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	REFERENCE	UNITS
DAMCNT_BSN	tblLANDSCAPE	LANDSCAPE	Dam count in Basin					
DAMDEN_BSN	tblLANDSCAPE	LANDSCAPE	Dam Density in Basin (dams/sqkm)					
DAMDEN_MISSINGDATA	tblLANDSCAPE	LANDSCAPE	n/a					
DOMGEOL_BSN	tblLANDSCAPE	LANDSCAPE	"SDMNTRY or \GNEISS\"" or \""GRANITIC\"" or \""MAFUL\"" or \""QTRNRY\"" or \""VOLCANIC\"" or \""WATERBODY\"""""					
ELEV_MISSINGDATA	tblLANDSCAPE	LANDSCAPE	% of Basin not covered by Elevation					percent
ELEV_SITE	tblLANDSCAPE	LANDSCAPE	Maximim Elevation (cm)					cm
ELEVMAX_BSN	tblLANDSCAPE	LANDSCAPE	Maximim Elevation (cm)					cm
ELEVMEAN_BSN	tblLANDSCAPE	LANDSCAPE	Mean Elevation (cm)					cm
ELEVMIN_BSN	tblLANDSCAPE	LANDSCAPE	Minimum Elevation (cm)					cm
GEOL_MISSDATA	tblLANDSCAPE	LANDSCAPE	Percent of basin not covered by geology raster					percent
GNEISSAREA_BSN	tblLANDSCAPE	LANDSCAPE	Area of Basin with the designated geology (sq km)					
GNEISSPCT_BSN	tblLANDSCAPE	LANDSCAPE	Percent of Basin with the designated geology					
GRANITICAREA_BSN	tblLANDSCAPE	LANDSCAPE	Area of Basin with the designated geology (sq km)					
GRANITICPCT_BSN	tblLANDSCAPE	LANDSCAPE	Percent of Basin with the designated geology					
HOUSEDEN_1000	tblLANDSCAPE	LANDSCAPE	Housing Density in 1000m-Clipped Buffer (housing units/sqmi)					
HOUSEDEN_200	tblLANDSCAPE	LANDSCAPE	Housing Density in 200m-Clipped Buffer (housing units/sqmi)					
HOUSEDEN_500	tblLANDSCAPE	LANDSCAPE	Housing Density in 200m-Clipped Buffer (housing units/sqmi)					
HOUSEDEN_BSN	tblLANDSCAPE	LANDSCAPE	Housing Density in Basin (housing units/sqmi)					
HOUSEDEN_MISSINGDATA_1000	tblLANDSCAPE	LANDSCAPE	% of 1000m-clipped buffer not covered by Housing Density Raster					percent
HOUSEDEN_MISSINGDATA_200	tblLANDSCAPE	LANDSCAPE	% of 200m-clipped buffer not covered by Housing Density Raster					percent
HOUSEDEN_MISSINGDATA_500	tblLANDSCAPE	LANDSCAPE	% of 500m-clipped buffer not covered by Housing Density Raster					percent
HOUSEDEN_MISSINGDATA_BSN	tblLANDSCAPE	LANDSCAPE	% of Basin not covered by Housing Density Raster					percent
MAFULAREA_BSN	tblLANDSCAPE	LANDSCAPE	Area of Basin with the designated geology (sq km)					
MAFULPCT_BSN	tblLANDSCAPE	LANDSCAPE	Percent of Basin with the designated geology					
MERCDEP_BSN	tblLANDSCAPE	LANDSCAPE	Average Mercury Deposition in Basin (micrograms/sq meter)					
MERCDEP_MISSINGDATA_BSN	tblLANDSCAPE	LANDSCAPE	% of Basin not covered by Mercury Raster					percent
MERCDEP_MISSINGDATA_SITE	tblLANDSCAPE	LANDSCAPE	"Value of 100 if mercury deposition data, 0 if not."			0		percent
MERCDEP_SITE	tblLANDSCAPE	LANDSCAPE	Mercury deposition at site (micrograms/sq meter)					
MINECNT_1000	tblLANDSCAPE	LANDSCAPE	Mine count in 1000m-clipped buffer					
