"SAMPLE_TYPE"	"COLUMN_NAME"	"APP_FIELD_NAME"	"APP_FORM_NAME"	"APP_LEGAL_VALUES"	"APP_MAP_FUNCTION"	"DESCRIPTION"	"EXPANSION_ELEMENTS"	"FIELD_EXPANSION_FUNCTION"	"FIELD_KEYS"	"FLAG_VALUE"	"KEY_EXPANSION_FUNCTION"	"LEGAL_TABLE_VALUES"	"PAPER_FIELD_NAME"	"PAPER_FORM_NAME"	"PAPER_LEGAL_VALUES"	"PAPER_MAP_FUNCTION"	"RANGE_HIGH"	"RANGE_LOW"	"SOURCE"	"UNITS"	"VAR_TYPE"	"LABEL"
"LAND"	"AGKFFACT"					"Mean of STATSGO Kffactor raster on agricultural land (NLCD 2006) within watershed The Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall"													"LAKECAT"	"Index value"		
"LAND"	"BFI"					"Base flow is the component of streamflow that can be attributed to ground-water discharge into streams. The BFI is the ratio of base flow to total flow, expressed as a percentage, within watershed"													"LAKECAT"	"%"		
"LAND"	"CANALDENS"					"Density of NHDPlus line features classified as canal, ditch, or pipeline within the upstream watershed (km/ square km)"													"LAKECAT"	"km/sq km"		
"LAND"	"CAO"					"Mean % of lithological calcium oxide (CaO) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"CBNF"					"Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr, within watershed"													"LAKECAT"	"kg N/ha/yr"		
"LAND"	"CLAY"					"Mean % clay content of soils (STATSGO) within watershed"													"LAKECAT"	"%"		
"LAND"	"COALMINEDENS"					"Density of coal mines sites within watershed (mines/square km)"													"LAKECAT"	"mines/square km"		
"LAND"	"COMPSTRGTH"					"Mean lithological uniaxial compressive strength (megaPascals) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"DAMDENS"					"Density of georeferenced dams within watershed (dams/ square km)"													"LAKECAT"	"dams/ square km"		
"LAND"	"DAMNIDSTOR"					"Volume all reservoirs (NID_STORA in NID) per unit area of watershed (cubic meters/square km)"													"LAKECAT"	"cubic meters/square km"		
"LAND"	"DAMNRMSTOR"					"Volume all reservoirs (NORM_STORA in NID) per unit area of watershed (cubic meters/square km)"													"LAKECAT"	"cubic meters/square km"		
"LAND"	"ELEV"					"Mean watershed elevation (m)"													"LAKECAT"	"meters"		
