"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"	"UNITS"	"SOURCE"
"AGKFFACT"	"Mean of STATSGO Kffactor raster (from Penn State Soil Info) on agricultural land (NLCD 2006) within watershed using the Universal Soil Loss Equation (USLE) which represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall"		"Index value"	"http://www.soilinfo.psu.edu/index.cgi?soil_data&conus&data_cov&k&methods and https://www.mrlc.gov/data"
"AWCH"	"Mean high values of available water capacity of soils (fraction) at sampling point.  From State Soil Geographic (STATSGO) Database."	"0 - 1"	"%"	"https://www.nrcs.usda.gov/resources/data-and-reports/description-of-statsgo2-database"
"BDH"	"Mean high values of soil bulk density of soil types at the sampling point (grams per cubic centimeter) from State Soil Geographic (STATSGO) Database."	"0 - 2"	"grams per cubic centimeter (g cm-3)"	"https://www.nrcs.usda.gov/resources/data-and-reports/description-of-statsgo2-database"
"BFI"	"Base flow is the component of streamflow that can be attributed to ground-water discharge into streams. The BFI is the ratio of base flow to total flow, expressed as a percentage, within watershed"	"0 - 100"	"%"	"http://water.usgs.gov/GIS/metadata/usgswrd/XML/bfi48grd.xml"
"CANALDENS"	"Density of NHDPlus high-resolution line features classified as canal or ditch within the upstream watershed (km/ square km)"	"range of values"	"km/sq km"	"https://www.usgs.gov/national-hydrography/nhdplus-high-resolution"
"CAO"	"Mean % of lithological calcium oxide (CaO) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"CBNF"	"Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr, within watershed"		"kg N/ha/yr"	"http://enviroatlas.epa.gov/enviroatlas/Datafactsheets/pdf/ESN/CultivatedBiologicalNitrogenFixation.pdf"
"CLAY"	"Mean % clay content of soils (STATSGO) within watershed"		"%"	"https://link.springer.com/article/10.1007/s10661-008-0256-z"
"COALMINEDENS"	"Density of coal mines sites within watershed (mines/square km)"		"mines/square km"	"http://ncrdspublic.er.usgs.gov/ncrds_data/"
"COMPSTRGTH"	"Mean lithological uniaxial compressive strength (megaPascals) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"DAMDENS"	"Density of georeferenced dams within watershed (dams/ square km)"		"dams/ square km"	"LAKECAT"
"DAMNIDSTOR"	"Volume all reservoirs (NID_STORA in NID) per unit area of watershed (cubic meters/square km)"		"cubic meters/square km"	"LAKECAT"
"DAMNRMSTOR"	"Volume all reservoirs (NORM_STORA in NID) per unit area of watershed (cubic meters/square km)"		"cubic meters/square km"	"LAKECAT"
"ELEV"	"Mean watershed elevation (m)"		"meters"	"Amazon Web Services Terrain Tiles via R elevatr package"
"ELEV_MAX"	"Watershed maximum elevation (m)"			
"ELEV_MIN"	"Watershed minimum elevation (m)"			
"ELEV_PT"	"Elevation of centroid of lake (m)"			
"ET"	"Mean-annual actual evapotranspiration (ET), estimated using regression equation of Sanford and Selnick (2013)"			"ftp://ftpext.usgs.gov/pub/er/va/reston/wsanford/US_ET/"
"FE2O3"	"Mean % of lithological ferric oxide (Fe2O3) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"FERT"	"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within watershed"		"kg N/ha/yr"	"https://enviroatlas.epa.gov/enviroatlas/DataFactSheets/pdf/ESN/Syntheticnitrogenfertilizerapplication.pdf"
"FSTFRZ"	"Site average of mean day of the year of first freeze, derived from 30 years of record (1961-1990), 2km PRISM. For example, value of 300 is the 300th day of the year (Oct 27th).  Values > 365 mean that the first freeze occurs after Dec 31.  It is done this way so that (first_freeze - last_freeze) should always give a positive number; high numbers for an area with a long frost-free period (e.g. Florida), low numbers for an area with a short frost-free period."			"http://www.prism.oregonstate.edu"
"GEOL_HUNT_DOM_DESC_WS"	"Text description of the dominant (highest percent of area) geology, derived from Hunt (1979) coverage"			"https://www.sciencebase.gov/catalog/item/5703f830e4b0328dcb826dd7"
"GEOL_HUNT_DOM_PCT"	"Percentage of the watershed covered by the dominant geology type (Hunt, 1979)"			"https://www.sciencebase.gov/catalog/item/5703f830e4b0328dcb826dd7"
"GEOL_HUNT_DOM_WS"	"Dominant (highest percent of area) geology, derived from Hunt (1979) coverage"			"https://www.sciencebase.gov/catalog/item/5703f830e4b0328dcb826dd7"
"GEOL_REEDBUSH_DOM_PCT_WS"	"Percentage of the watershed covered by the dominant geology type (Reed & Bush, 2001)"			"https://pubs.usgs.gov/atlas/geologic/"
"GEOL_REEDBUSH_DOM_WS"	"Dominant (highest percent of area) geology, derived from a simplified version of Reed & Bush (2001) - Generalized Geologic Map of the Conterminous United States."			"https://pubs.usgs.gov/atlas/geologic/"
"HUDEN2010"	"Mean housing unit density (housing units/square km) within watershed"		"housing units/square km"	"LAKECAT"
"HYDRLCOND"	"Mean lithological hydraulic conductivity (micrometers per second) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"INORGNWETDEP_2019"	"Annual gradient map of preciptiation-weighted mean deposition for inorganic nitrogen wet deposition from nitrate and ammonium for 2019 in kg of N/ha/yr, within watershed"		"kg of N/ha/yr"	"https://nadp.slh.wisc.edu/maps-data/ntn-gradient-maps/"
"K2O"	"Mean % of lithological potassium oxide (K2O) content in surface or near surface geology within watershed"		"Mean %"	"LAKECAT"
"KFFACT"	"Mean of STATSGO Kffactor raster within watershed. The Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall"		"Index value"	"LAKECAT"
"LSTFRZ"	"Site average of mean day of the year of last freeze, derived from 30 years of record (1961-1990), 2km PRISM.   For example, value of 100 is the 100th day of the year (April 10th).  Values of 0 here indicate there is no freeze"			"http://www.prism.oregonstate.edu"
"MANURE"	"Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within watershed"		"kg N/ha/yr"	"http://enviroatlas.epa.gov/EnviroAtlas/DataFactSheets/pdf/ESN/ManureApplication.pdf"
"MERCDEP"	"Average Mercury Deposition in Basin (micrograms/sq meter) for 2019"		"micrograms/sq meter"	"https://nadp.slh.wisc.edu/maps-data/mdn-gradient-maps/"
"MGO"	"Mean % of lithological magnesium oxide (MgO) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"MINEDENS"	"Density of mines sites within watershed (mines/square km)"		"mines/square km"	"http://tin.er.usgs.gov/mineplant/"
"N"	"Mean % of lithological nitrogen (N) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
