COLUMN_NAME	LABEL	LEGAL_VALUES
AMFCALL	"fractional cover of all macrophytes using am_totalcover (mean(wtA, wtB, ... wtJ))"	
AMFCEMERGENT	"fractional cover of emergent macrophytes using am_emergent (mean(wtA, wtB, ... wtJ))"	
AMFCFLOATING	"fractional cover of floating macrophytes using am_floating (mean(wtA, wtB, ... wtJ))"	
AMFCSUBMERGENT	"fractional cover of submergent macrophytes using am_submergent (mean(wtA, wtB, ... wtJ))"	
AMFPALL	"fractional presence of all macrophytes using am_totalcover (mean(atA, atB, ... atJ))"	
AMFPEMERGENT	"fractional presence of emergent macrophytes using am_emergent (mean(atA, atB, ... atJ))"	
AMFPFLOATING	"fractional presence of floating macrophytes using am_floating (mean(atA, atB, ... atJ))"	
AMFPSUBMERGENT	"fractional presence of submergent macrophytes using am_submergent (mean(atA, atB, ... atJ))"	
AMIDALL	"interdecimile cover of all macrophytes using am_totalcover (percentile(90, wtA, wtB, ... wtJ) - percentile(10, wtA, wtB, ... wtJ))"	
AMIQALL	"interquartile cover of all macrophytes using am_totalcover (percentile(75 wtA, wtB, ... wtJ) - percentile(25, wtA, wtB, ... wtJ))"	
AMITOTAL	"index of total cover of aquatic macrophytes using am_emergent, am_floating, am_submergent (mean(Aemergent+Afloating+Asubmergent, Bemergent+Bfloating+Bsubmergent, ...Jemergent+Jfloating+Jsubmergent))"	
AMNALL	"number of stations with Total cover data using am_totalcover (count(atA, atB... atJ))"	
AMNEMERGENT	"number of stations with Emergent data using am_emergent (count(atA, atB... atJ))"	
AMNFLOATING	"number of stations with Floating data using am_floating (count(atA, atB... atJ))"	
AMNSUBMERGENT	"number of stations with Submergent data using am_submergent (count(atA, atB... atJ))"	
AMVALL	"std dev. Cover of all macrophytes using am_totalcover (stdev(wtA, wtB, wtC... wtJ))"	
AMVEMERGENT	"std dev. Cover of Emergent macrophytes using am_emergent (stdev(wtA, wtB, wtC... wtJ))"	
AMVFLOATING	"std dev. Cover of Floating macrophytes using am_floating (stdev(wtA, wtB, wtC... wtJ))"	
AMVSUBMERGENT	"std dev. Cover of Submergent macrophytes using am_submergent (stdev(wtA, wtB, wtC... wtJ))"	
BFFFLAT	"fraction with flat banks using angle (mean(flatA, flatB... flatJ))"	
BFFGRADUAL	"fraction with gradual banks using angle (mean(gradualA, gradualB... gradualJ))"	
