"COLUMN_NAME"	"LABEL"	"UNITS"	"LEGAL_VALUES"	"VAR_TYPE"	"RANGE_HIGH"	"RANGE_LOW"
"ABUNDANCE"	"Number of organisms counted from sample"					
"ALGAL_GROUP"	"Broad algal group, used in metric calculation"	"None"	"CRYPTOPHYTES|CYANOBACTERIA|DIATOM|DINOFLAGELLATES|EUGLENOIDS|EUSTIGMATOPHYTES|GOLDEN ALGAE|GREEN ALGAE|OTHER|UNDETERMINTED| YELLOW-GREEN ALGAE"			
"BIOVOLUME"	"Volume of cells per mL of sample"	"cu um/ml"				
"DATE_COL"	"Date of sample collection"	"None"				
"DENSITY"	"Number of organisms/mL"					
"IS_DISTINCT"	"Distinct taxa classification per sample"		"1|0"			
"PSTL_CODE"	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."					
"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"					
"SAMPLE_TYPE"	"Code identifying sample type"					
"SITE_ID"	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."					
"TARGET_TAXON"	"Name of taxon at target taxon level"					
"TAXA_ID"	"NLA Taxon ID number"					
"UID"	"Unique identifier for the site/visit"					
"UNIQUE_ID"	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \"blank\" values allowed."					
"VISIT_NO"	"Sequential number of visit to site"		"|1|2"			
