COLUMN_NAME	LABEL	LEGAL_VALUES
CALIBRATION_VERIFIED	Calibration verified	|Y|N
DUPLICATE_DO	Duplicate DO reading taken	|YES|NO|Y|N
REVIEW	Has app form been thoroughly reviewed	|Y
DEPTH	Depth at collection point	
ODOR	Odor Type	|NONE|H2S|ANOXIC|OIL|CHEMICAL|OTHER.*
ODOR_DESC	Description of Odor	
ARRIVAL_TIME	Time of arrival to index site	
CONDUCTIVITY	Conductivity for index profile	
CONDUCTIVITY_NARS_COMMENT	"Comment to explain NARS_FLAG value, if necessary."	
CONDUCTIVITY_NARS_FLAG	"NARS flag associated with conductivity value: Q indicates a quality issue, NR indicates no value collected."	
DEPTH_METHOD	Method for depth measurements	|LINE|SONAR|POLE|ESTIMATE
E_FILE	Profile data submitted via external file	|YES|NO|Y|N
INDEX_GPS_FIX	"Type of GPS at the index site (2D, 3D)"	|2D|3D
INDEX_LAT_DD	Lattitude in decimal degrees at index site	
INDEX_LON_DD	Longitude in decimal degrees at index site	
INDEX_SITE_DEPTH	Depth at the index site	
METALIMNION	Depth indicated for (T)op and (B)ottom of the metalimnion	|T|B
OXYGEN	Oxygen for index profile	
OXYGEN_NARS_COMMENT	"Comment to explain NARS_FLAG value, if necessary."	
OXYGEN_NARS_FLAG	"NARS flag associated with dissolved oxygen value: Q indicates a quality issue, NR indicates no value collected."	
PH	PH for index profile	
PH_NARS_COMMENT	"Comment to explain NARS_FLAG value, if necessary."	
PH_NARS_FLAG	"NARS flag associated with pH value: Q indicates a quality issue, NR indicates no value collected."	
PRECIPITATION	Precipitation at index site	|NONE|LIGHT|HEAVY
SCUM	Scum present	|YES|NO
SCUM_DESC	Description of scum	
SURFACE_COND	Lake surface conditions	|FLAT|RIPPLES|CHOPPY|WHITECAPS
TEMPERATURE	Temperature for index profile	
TEMPERATURE_NARS_COMMENT	"Comment to explain NARS_FLAG value, if necessary."	
TEMPERATURE_NARS_FLAG	"NARS flag associated with temperature value: Q indicates a quality issue, NR indicates no value collected."	
PSTL_CODE	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."	
SITE_ID	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."	
UNIQUE_ID	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \blank\"" values allowed."""	
DATE_COL	Date of sample collection	
VISIT_NO	Sequential number of visit to site	|1|2
COMMENT	Additional comments	
LINE	Line number	
PUBLICATION_DATE	Date the dataset was published to the NARS site	
SAMPLE_TYPE	Code identifying sample type	
UID	Unique identifier for the site/visit	
