"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"
"PSTL_CODE"	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."	
"SITE_ID"	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."	
"UNIQUE_ID"	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \"blank\" values allowed."	
"DATE_COL"	"Date of sample collection"	
"VISIT_NO"	"Sequential number of visit to site"	"|1|2"
"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"	
"UID"	"Unique identifier for the site/visit"	
"BENT"	"Either sample ID or Not Collected for benthic macrooinverrtebrate sample."	
"CHEM"	"Either sample ID or Not Collected for water chemistry sample."	
"CHLX"	"Either sample ID or Not Collected for chlorophyll a sample."	
"ENTE"	"Either sample ID or Not Collected for enterococci sample."	
"FDNA"	"Either sample ID or Not Collected for fish eDNA sample."	
"LDNA"	"Either sample ID or Not Collected for littoral eDNA sample."	
"MICZ"	"Either sample ID or Not Collected for microcystin sample."	
"PHYX"	"Either sample ID or Not Collected for phytoplankton sample."	
"TRIA"	"Either sample ID or Not Collected for Atrazine sample."	
"ZOCN"	"Either sample ID or Not Collected for coarse-mesh zooplankton sample."	
"ZOFN"	"Either sample ID or Not Collected for fine-mesh zooplankton sample."	
"FTIS"	"Either sample ID or Not Collected for fish tissue sample."	
"PHAB"	"Either Sampled or Not Collected for physical habitat (PHAB) data"	
"CHAB"	"Either Not Collected or the number of locations where cyanobacteria bloom data were recorded, including up to 12 stations, verification, index site location, and overall assessment form"	
"ASSESS"	"Either Sampled or Not Collected for overall assessment form data"	
