SAMPLE_TYPE	PARAMETER	LABEL	LEGAL_VALUES	RANGE_LOW	RANGE_HIGH
COLUMN	ANALYTE	"Analyte: Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin"			
COLUMN	BATCH_ID	Laboratory batch number			
COLUMN	DATE_ANALYZED	Date lab sample analyzed			
COLUMN	LAB	Laboratory			
COLUMN	LAB_COMMENT	Laboratory comment			
COLUMN	MATRIX	Material used for analysis			
COLUMN	MDL	Method detection limit			
COLUMN	NARS_FLAG	"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte"			
COLUMN	PUBLICATION_DATE	Date the dataset was published to the NARS site			
COLUMN	QA_FLAG	Laboratory QA flags (not necessarily translated to NARS_FLAG)			
COLUMN	RESULT	Value of associated parameter			
COLUMN	RESULT_UNITS	Result unit			
COLUMN	RL	Laboratory reporting limit			
COLUMN	SAMPLE_TYPE	Code identifying sample type			
COLUMN	UID	Unique identifier for the site/visit			
DESIGN	PSTL_CODE	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."			
DESIGN	SITE_ID	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."			
DESIGN	UNIQUE_ID	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \blank\"" values allowed."""			
MICX	DATE_RECEIVED	Date sample received by laboratory			
MICX	LAB_SAMPLE_ID	Laboratory Sample ID			
MICX	NOT_COLLECTED	Sample not collected	|Y|N|YES|NO		
MICX	SAMPLE_ID	ID for sample collected			
VERIF	DATE_COL	Date of sample collection			
VERIF	VISIT_NO	Sequential number of visit to site	|1|2		
