COLUMN_NAME	LABEL	LEGAL_VALUES
COMP_PT	Composition metric score	
DIVS_PT	Diversity metric score	
FEED_PT	Functional feeding group metric score	
HABT_PT	Habit metric score	
MMI_BENT	Benthic MMI score	
RICH_PT	Taxa richness metric score	
TOLR_PT	Tolerance metric score	
BENT_MMI_COND_2017	Condition class based on 2017 updated benthic MMI scores	Good|Fair|Poor|Not Assessed
PSTL_CODE	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."	
SITE_ID	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."	
UNIQUE_ID	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \blank\"" values allowed."""	
DATE_COL	Date of sample collection	
VISIT_NO	Sequential number of visit to site	|1|2
PUBLICATION_DATE	Date the dataset was published to the NARS site	
UID	Unique identifier for the site/visit	
