SAMPLE_TYPE	PARAMETER	LABEL	LEGAL_VALUES	RANGE_LOW	RANGE_HIGH
COLUMN	ENTEROCOCCI_LAB	Laboratory			
COLUMN	ENTEROCOCCI_LLOQ	Lower limit of quantification (scaled to 100 mL water sample volume) adjusted for relative total DNA recovery using Sample Processing Control (SPC) CT measurements from test sample and control sample filters			
COLUMN	ENTEROCOCCI_NARS_COMMENT	"Comment explaining NARS_FLAG or other qualifying information, if applicable."			
COLUMN	ENTEROCOCCI_NARS_FLAG	"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte"			
COLUMN	ENTEROCOCCI_RESULT	Value of associated parameter			
COLUMN	ENTEROCOCCI_SAMPLE_ID	Enterococci sample id			
COLUMN	ENTEROCOCCI_UNITS	Units			
COLUMN	MATRIX	Material used for analysis			
COLUMN	PUBLICATION_DATE	Date the dataset was published to the NARS site			
COLUMN	SAM_CODE	Sample code (Regular/Lab duplicate/Lab split)			
COLUMN	UID	Unique identifier for the site/visit			
DESIGN	PSTL_CODE	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."			
DESIGN	SITE_ID	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."			
DESIGN	UNIQUE_ID	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \blank\"" values allowed."""			
VERIF	DATE_COL	Date of sample collection			
VERIF	VISIT_NO	Sequential number of visit to site	|1|2		
