SAMPLE_TYPE	PARAMETER	LABEL	LEGAL_VALUES	RANGE_LOW	RANGE_HIGH
	AMMONIA_N_DATE_ANALYZED	Date sample analyzed for analyte: ammonia			
	AMMONIA_N_DILUTION_FACTOR	Dilution factor used in chlorophyll calculation for Ammonia as N			
	AMMONIA_N_HOLDING_TIME	Time from sampling to analysis (days): ammonia			
	AMMONIA_N_LAB_SAMPLE_ID	Laboratory Sample ID for Ammonia as N			
	AMMONIA_N_MDL	Method detection limit of ammonia			
	AMMONIA_N_NARS_FLAG	"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte for Ammonia as N"			
	AMMONIA_N_QA_FLAG	QA flag assigned by lab: ammonia			
	AMMONIA_N_RESULT	Analyte value: ammonia			
	AMMONIA_N_RL	Reporting limit of ammonia			
	AMMONIA_N_UNITS	Units of measurement: ammonia			
	ANC_DATE_ANALYZED	Date sample analyzed for analyte: acid neutralizing capacity			
	ANC_HOLDING_TIME	Time from sampling to analysis (days): acid neutralizing capacity			
	ANC_LAB_SAMPLE_ID	Laboratory Sample ID for Acid Neutralizing Capacity			
	ANC_MDL	Method detection limit of Acid Neutralizing Capacity (ueq/L)			
	ANC_NARS_FLAG	"Flag assigned by NARS for Acid Neutralizing Capacity. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence , NR = No lab result for analyte"			
	ANC_QA_FLAG	QA flag assigned by lab: acid neutralizing capacity			
	ANC_RESULT	Analyte value: acid neutralizing capacity			
	ANC_RL	Reporting limit for Acid Neutralizing Capacity			
	ANC_UNITS	Units of measurement: acid neutralizing capacity			
	CALCIUM_DATE_ANALYZED	Date sample analyzed for analyte: calcium			
	CALCIUM_DILUTION_FACTOR	Dilution factor used in chlorophyll calculation for Calcium			
	CALCIUM_HOLDING_TIME	Time from sampling to analysis (days): calcium			
	CALCIUM_LAB_SAMPLE_ID	Laboratory Sample ID for Calcium			
	CALCIUM_MDL	Method detection limit of calcium			
	CALCIUM_NARS_FLAG	"NARS FLAG. ND = Nondetect; H = holding time issue; S = shipping issue; L = Less than reporting limit but above MDL; Q = other quality issue. See NARS_COMMENT, NR = No lab result for analyte for Calcium"			
	CALCIUM_QA_FLAG	QA flag assigned by lab: calcium			
	CALCIUM_RESULT	Analyte value: calcium			
	CALCIUM_RL	Reporting limit for Calcium			
	CALCIUM_UNITS	Units of measurement: calcium			
	CHLA_DATE_ANALYZED	Date sample analyzed for analyte: chlorophyll-a			
	CHLA_DILUTION_FACTOR				
	CHLA_EXTRACT	chlorophyll-a amount in extract by volume (ug/L)			
	CHLA_EXTRACT_UNITS	Units of measurement: chlorophyll extract by volume			
	CHLA_HOLDING_TIME	Time from sampling to analysis (days): chlorophyll-a			
	CHLA_LAB_SAMPLE_ID	Laboratory Sample ID for Chlorophyll a			
	CHLA_MDL	Method detection limit of chlorophyll-a			
	CHLA_NARS_FLAG	"Flag assigned by NARS for Chlorophyll a. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence , NR = No lab result for analyte"			
	CHLA_QA_FLAG	QA flag associated with sample for Chlorophyll a			
	CHLA_RESULT	Analyte value: chlorophyll-a			
	CHLA_RESULT_UNITS	Units for Chlorophyll a			
	CHLA_RL	Reporting limit for Chlorophyll a			
	CHLA_SAMPLE_ID	ID for sample collected for Chlorophyll a			
	CHLA_VOLUME_ADJUST				
	CHLA_VOLUME_FILTERED	Volume filtered for chlorophyll-a sample			
	CHLORIDE_DATE_ANALYZED	Date sample analyzed for analyte: chloride			
	CHLORIDE_DILUTION_FACTOR	Dilution factor used in chlorophyll calculation for Chloride			
	CHLORIDE_HOLDING_TIME	Time from sampling to analysis (days): chloride			
	CHLORIDE_LAB_SAMPLE_ID	Laboratory Sample ID for Chloride			
	CHLORIDE_MDL	Method detection limit of chloride			
	CHLORIDE_NARS_FLAG	"NARS FLAG. ND = Nondetect; H = holding time issue; S = shipping issue; L = Less than reporting limit but above MDL; Q = other quality issue. See NARS_COMMENT, NR = No lab result for analyte for Chloride"			
	CHLORIDE_QA_FLAG	QA flag assigned by lab: chloride			
	CHLORIDE_RESULT	Analyte value: chloride			
	CHLORIDE_RL	Reporting limit of analyte: chloride			
	CHLORIDE_UNITS	Units of measurement: chloride			
	COLOR_DATE_ANALYZED	Date sample analyzed for analyte: color			
	COLOR_HOLDING_TIME	Time from sampling to analysis (days): color			
	COLOR_LAB_SAMPLE_ID	Laboratory Sample ID for Color			
	COLOR_NARS_FLAG	"NARS FLAG. ND = Nondetect; H = holding time issue; S = shipping issue; L = Less than reporting limit but above MDL; Q = other quality issue. See NARS_COMMENT, NR = No lab result for analyte for Color"			
	COLOR_QA_FLAG	QA flag assigned by lab: color			
	COLOR_RESULT	Analyte value: color			
	COLOR_UNITS	Units of measurement: color			
	COND_DATE_ANALYZED	Date sample analyzed for analyte: conductivity			
	COND_HOLDING_TIME	Time from sampling to analysis (days): conductivity			
	COND_LAB_SAMPLE_ID	Laboratory Sample ID for Conductivity			
	COND_MDL	Minimum detection limit of analyte for Conductivity			
	COND_NARS_FLAG	"NARS FLAG. ND = Nondetect; H = holding time issue; S = shipping issue; L = Less than reporting limit but above MDL; Q = other quality issue. See NARS_COMMENT, NR = No lab result for analyte for Conductivity"			
