COLUMN_NAME	LABEL	LEGAL_VALUES
PSTL_CODE	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."	
SITE_ID	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."	
UNIQUE_ID	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \blank\"" values allowed."""	
DATE_COL	Date of sample collection	
VISIT_NO	Sequential number of visit to site	|1|2
ASPLAN_BIO	Biomass represented by individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)	
ASPLAN_DEN	Density (indiv./L) of individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)	
ASPLAN_NIND	Number of individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)	
ASPLAN_NTAX	Number of distinct taxa within the rotifer family Asplanchnidae (coarse and fine net samples combined)	
ASPLAN_PBIO	Percent of biomass represented by individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)	
ASPLAN_PDEN	Percent of density (indiv./L) of individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)	
ASPLAN_PIND	Percent of individuals within the rotifer family Asplanchnidae (coarse and fine net samples combined)	
ASPLAN_PTAX	Percent of distinct taxa within the rotifer family Asplanchnidae (coarse and fine net samples combined)	
ASPLAN300_BIO	Biomass represented by individuals within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net subsamples combined)	
ASPLAN300_NIND	Number of individuals within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net samples combined)	
ASPLAN300_NTAX	Number of distinct taxa within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net samples combined)	
ASPLAN300_PBIO	Percent of biomass represented by individuals within the rotifer family Asplanchnidae  in the 300-count subsamples (coarse and fine net samples combined)	
ASPLAN300_PIND	Percent of individuals within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net samples combined)	
ASPLAN300_PTAX	Percent of distinct taxa within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net samples combined)	
BOSM_BIO	Biomass represented by individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)	
BOSM_DEN	Density (indiv./L) of individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)	
BOSM_NAT_BIO	Biomass represented by native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)	
BOSM_NAT_DEN	Density (indiv./L) of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)	
BOSM_NAT_NIND	Number of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)	
