"COLUMN_NAME"	"LABEL"	"VAR_TYPE"	"RANGE_HIGH"	"RANGE_LOW"	"LEGAL_VALUES"	"UNITS"
"BIOMASS"	"Taxa biomass per sample (ug dry weight/L)"					
"BIOMASS_300"	"Taxa biomass in 300-organism subsample (ug dry weight/L)"					
"CLADOCERA_SIZE"	"Size group for cladocerans by taxon "				"LARGE|SMALL"	"None"
"CLASS"	"Class of taxon"					
"COUNT"	"Number of organisms in taxon in sample"					
"COUNT_300"	"Number of organisms in taxon in 300-organism subsample"					
"DATE_COL"	"Date of sample collection"					"None"
"DENSITY"	"Number of organisms/L"					
"FAMILY"	"Family of taxon"					
"FFG"	"Functional feeding group codes for zooplankton, "				"FILT|HERB|OMNI|PARA|PRED|UNK"	"None"
"GENUS"	"Genus of taxon"					
"IS_DISTINCT"	"Distinct taxa classification per sample"					
"IS_DISTINCT_300"	"Distinct taxon in 300-organism subsample"				"1|0"	
"LARGE_RARE_TAXA"	"Indicator variable for large, rare taxon in sample"				"Y| "	
"L_R_ABUND"	"Abundance of large, rare taxa"					
"NET_SIZECLS_NEW"	"Net mesh size assigned to taxon: FINE=captured only by fine-mesh net, COARSE=captured by coarse and fine nets. Based on NLA 2012 methods."				"COARSE|FINE"	"None"
"NON_NATIVE"	"Non-native taxon"				"Y|N"	
"NON_TARGET"	"Macroinvertebrate designation for non-target taxon"				"N|Y"	"None"
"ORDER"	"Order of taxon"					
"PHYLUM"	"Phylum of taxon"					
"PSTL_CODE"	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."					
"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"					
"SAMPLE_TYPE"	"Code identifying sample type"					
"SITE_ID"	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."					
"SPECIES"	"Species of taxon"					
"SUBCLASS"	"Subclass of taxon"					
"SUBFAMILY"	"Subfamily of taxon"					
"SUBORDER"	"Suborder of taxon"					
"SUBSPECIES"	"Subspecies name"					"None"
"TARGET_TAXON"	"Name of taxon at target taxon level"					
"TAXA_ID"	"NLA Taxon ID number"					
"TOW_VOLUME"	"Estimated volume of water filtered by plankton tow net"					"L"
"UID"	"Unique identifier for the site/visit"					
"UNIQUE_ID"	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \"blank\" values allowed."					
"VISIT_NO"	"Sequential number of visit to site"				"|1|2"	
