"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"MICX"	"ABSORBANCE"	"Absorbance value 
"			
"COLUMN"	"ABSORBANCE_UNITS"	"Units for parameter ABSORBANCE"			
"COLUMN"	"ANALYST"	"Name/initials of laboratory personnel who analyzed the sample"			
"COLUMN"	"ANALYTE"	"Analyte"			
"COLUMN"	"BATCH_ID"	"Laboratory batch number"			
"MICX"	"CONDITION_CODE"	"Condition of sample code"			
"COLUMN"	"DATE_ANALYZED"	"Date lab sample analyzed"			
"VERIF"	"DATE_COL"	"Date collected"	""	""	
"MICX"	"DATE_RECEIVED"	"Date sample received by laboratory"			
"MICZ"	"DATE_RECEIVED"	"Date sample received by laboratory"			
"MICX"	"DILUTION_FACTOR"	"Dilution factor"			
"MICX"	"KIT_ID"	"Kit identification code. If one does not exist, assign a unique code to each kit. 
"			
"COLUMN"	"LAB"	"Laboratory"			
"COLUMN"	"MATRIX"	"Material used for analysis"			
"COLUMN"	"MDL"	"Method detection limit"			
"COLUMN"	"NARS_FLAG"	"NARS equivalent to NCCA_FLAG"			
"MICX"	"NOT_COLLECTED"	"Sample not collected"	""	""	"|Y|N"
"MICZ"	"NOT_COLLECTED"	"Sample not collected"	""	""	"|Y|N"
"COLUMN"	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
"COLUMN"	"RESULT"	"Value of associated parameter"			
"COLUMN"	"RESULT_UNITS"	"Result unit"			
"COLUMN"	"RL"	"Laboratory reporting limit"			
"COLUMN"	"SAM_CODE"	"Sample code (Regular/Lab duplicate/Lab split)"			
"COLUMN"	"SAM_CODE"	"Sample code, typically REGULAR, PRIMARY, or NONE used in analysis"			
"MICX"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"MICZ"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"COLUMN"	"SAMPLE_TYPE"	"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type"			
"VERIF"	"SITE_ID"	"Identification code for site"	""	""	""
"DESIGN"	"SITE_ID"	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."			
"COLUMN"	"UID"	"Unique identifier for the site/visit"			
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"	""	""	"|1|2"
