"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"UNITS"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"TRIA"	"ABSORBANCE"	"Absorbance value"				
	"ABSORBANCE_UNITS"	"Units for parameter ABSORBANCE"				
"TRIA"	"ANALYST"	"Laboratory analyst"				
	"ANALYTE"	"Analyte"				
	"BATCH_ID"	"Laboratory batch number"				
"TRIA"	"DATE_ANALYZED"	"Date of sample analysis"				
"VERIF"	"DATE_COL"	"Date collected"		""	""	
"TRIA"	"DATE_RECEIVED"	"Date sample was received by lab"	"datetime"			
"TRIA"	"HOLDING_TIME"	"Sample holding time - days"				
	"HOLDING_TIME_UNITS"	"Days"				
	"LAB"	"Laboratory"				
	"MATRIX"	"Material used for analysis"				
"TRIA"	"MDL"	"Minimum detection limit of analyte - ppb"	"PPB"			
"TRIA"	"NARS_FLAG"	"Flag assigned by NARS: ND=Below detection, L=Estimated, S=Shipping, H=Holding time exceeded, Q=Other quality issue"				
	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"				
"TRIA"	"RESULT"	"Analyte value - ppb"	"PPB"			
	"RESULT_UNITS"	"Result unit"				
	"RL"	"Laboratory reporting limit"				
	"SAM_CODE"	"Sample code (Regular/Lab duplicate/Lab split)"				
	"SAMPLE_TYPE"	"Code identifying sample type"				
"VERIF"	"SITE_ID"	"Identification code for site"		""	""	""
	"UID"	"Unique identifier for the site/visit"				
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"		""	""	"|1|2"
