"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
	"UID"	"Unique identifier for the site/visit"			
	"BENT_NOT_COLLECTED"	"Sample not collected"			
	"BENT_SAMPLE_ID"	"ID for sample collected"			
	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
	"UID"	"Unique identifier for the site/visit"			
	"SITETYPE"	"Site type (probability-based or hand-picked) used in the NLA  survey design PROB | HAND. PROB for sites from probability survey.  Usually HAND for hand-picked lakes."			
"BENT"	"AMPHNTAX"	"No. of Amphipoda taxa"	"0"		
"BENT"	"AMPHPIND"	"% Amphipoda individuals"	"0"	"100"	
"BENT"	"AMPHPTAX"	"% Amphipoda taxa"	"0"	"100"	
"BENT"	"BURRNTAX"	"No. of Burrowers taxa"	"0"		
"BENT"	"BURRPIND"	"% Burrowers individuals"	"0"	"100"	
"BENT"	"BURRPTAX"	"% Burrowers taxa"	"0"	"100"	
"BENT"	"CHIRDOM1PIND"	"% individuals in most abundant distinct Chironomidae taxon"	"0"	"100"	
"BENT"	"CHIRDOM3PIND"	"% individuals in most abundant 3 distinct Chironomidae taxa"	"0"	"100"	
"BENT"	"CHIRDOM5PIND"	"% individuals in most abundant 5 distinct Chironomidae taxa"	"0"	"100"	
"BENT"	"CHIRNTAX"	"No. of Chironomidae taxa"	"0"		
"BENT"	"CHIRPIND"	"% Chironomidae individuals"	"0"	"100"	
"BENT"	"CHIRPTAX"	"% Chironomidae taxa"	"0"	"100"	
"BENT"	"CLMBNTAX"	"No. of Climbers taxa"	"0"		
"BENT"	"CLMBPIND"	"% Climbers individuals"	"0"	"100"	
"BENT"	"CLMBPTAX"	"% Climbers taxa"	"0"	"100"	
"BENT"	"CLNGNTAX"	"No. of Clingers taxa"	"0"		
"BENT"	"CLNGPIND"	"% Clingers individuals"	"0"	"100"	
"BENT"	"CLNGPTAX"	"% Clingers taxa"	"0"	"100"	
"BENT"	"COFINTAX"	"No. of Collecter-filterer taxa"	"0"		
"BENT"	"COFIPIND"	"% Collecter-filterer individuals"	"0"	"100"	
"BENT"	"COFIPTAX"	"% Collecter-filterer taxa"	"0"	"100"	
"BENT"	"COFITRICNTAX"	"No. of Collector-filterer Trichoptera taxa"	"0"		
"BENT"	"COFITRICPIND"	"% Collector-filterer Trichoptera individuals"	"0"	"100"	
"BENT"	"COFITRICPTAX"	"% Collector-filterer Trichoptera taxa"	"0"	"100"	
"BENT"	"COGANTAX"	"No. of Collecter-gatherer taxa"	"0"		
"BENT"	"COGAPIND"	"% Collecter-gatherer individuals"	"0"	"100"	
"BENT"	"COGAPTAX"	"% Collecter-gatherer taxa"	"0"	"100"	
"BENT"	"CRUSNTAX"	"No. of Crustaceans taxa"	"0"		
"BENT"	"CRUSPIND"	"% Crustaceans individuals"	"0"	"100"	
"BENT"	"CRUSPTAX"	"% Crustaceans taxa"	"0"	"100"	
"BENT"	"DIPTNTAX"	"No. of Diptera taxa"	"0"		
"BENT"	"DIPTPIND"	"% Diptera individuals"	"0"	"100"	
"BENT"	"DIPTPTAX"	"% Diptera taxa"	"0"	"100"	
