"SAMPLE_TYPE"	"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"	"RANGE_LOW"	"RANGE_HIGH"
"TAXA: Invertebrates"	"CLASS"	"Class of taxon"			
"TAXA: Invertebrates"	"FAMILY"	"Family of taxon"			
"TAXA: Invertebrates"	"FFG"	"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Predator(PR),Scraper(SC),Shredder(SH)"			
"TAXA: Invertebrates"	"GENUS"	"Genus of taxon"			
"TAXA: Invertebrates"	"HABIT"	"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)"			
"TAXA: Invertebrates"	"NON_TARGET"	"Operational taxon unit for NRSA O/E"			
"TAXA: Invertebrates"	"ORDER"	"Order of taxon"			
"TAXA: Invertebrates"	"PHYLUM"	"Phylum of taxon"			
"TAXA: Invertebrates"	"PTV"	"Pollution tolerance value as assigned for NWSA"			
"TAXA: Invertebrates"	"SUBFAMILY"	"Subfamily of taxon"			
"BENT"	"TARGET_TAXON"	"Taxaname at target hierarchical taxonomic level"			
	"TAXA_ID"	"NLA Taxon ID number"			
"TAXA: Invertebrates"	"TRIBE"	"Tribe of taxon"			
