"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"PHAB"	"AM_EMERGENT"	"Emergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	"|0|1|2|3|4"
"PHAB"	"AM_EMERGENT_FLAG"	"Flag associated with Emergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	""
"PHAB"	"AM_FLOATING"	"Floating aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	"|0|1|2|3|4"
"PHAB"	"AM_FLOATING_FLAG"	"Flag associated with Floating aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	""
"PHAB"	"AM_SUBMERGENT"	"Submergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	"|0|1|2|3|4"
"PHAB"	"AM_SUBMERGENT_FLAG"	"Flag associated with Submergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	""
"PHAB"	"AM_TOTALCOVER"	"Total cover aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	"|0|1|2|3|4"
"PHAB"	"AM_TOTALCOVER_FLAG"	"Flag associated with Total cover aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	""
"PHAB"	"ANGLE"	"Bank angle"	""	""	"|FLAT|GRADUAL|STEEP|NEAR_VERTICAL_UNDERCUT"
"PHAB"	"BS_BEDROCK"	"Bottom substrate bedrock (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	"|0|1|2|3|4"
"PHAB"	"BS_BEDROCK_FLAG"	"Flag associated with Bottom substrate bedrock (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	""
"PHAB"	"BS_BOULDERS"	"Bottom substrate boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	"|0|1|2|3|4"
"PHAB"	"BS_BOULDERS_FLAG"	"Flag associated with Bottom substrate boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	""
"PHAB"	"BS_COBBLE"	"Bottom substrate cobble (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	""	""	"|0|1|2|3|4"
