"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"UNITS"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"PHYX"	"ABUNDANCE"	"Number of organisms counted from sample"				
"PHYTOPLANKTON"	"ALGAL_GROUP"	"Broad algal group, used in metric calculation"	"None"			"BLUE-GREEN ALGAE|CRYPTOPHYTES|DIATOM|DINOFLAGELLATES|EUGLENOIDS|EUSTIGMATOPHYTES|GOLDEN ALGAE|GREEN ALGAE|YELLOW-GREEN ALGAE"
"PHYX"	"ANALYST_NAME"	"Analyst name"				
"PHYX"	"BIOVOLUME"	"Volume of cells per mL of sample"	"cu um/ml"			
"PHYTOPLANKTON"	"CLASS"	"Class of taxon"				
"VERIF"	"DATE_COL"	"Date collected"		""	""	
"PHYX"	"DENSITY"	"Number of organisms/mL"				
"PHYTOPLANKTON"	"FAMILY"	"Family of taxon"				
"PHYTOPLANKTON"	"GENUS"	"Genus of taxon"				
"DESIGN"	"LAT_DD83"	"Latitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always, represents centriod of lake polygon in NHD."				
"DESIGN"	"LON_DD83"	"Longitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always represents centriod of lake polygon in NHD."				
"PHYTOPLANKTON"	"ORDER"	"Order of taxon"				
"PHYTOPLANKTON"	"PHYLUM"	"Phylum of taxon"				
	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"				
"PHYX"	"SAMPLE_ID"	"ID for sample collected"				
"PHYX"	"SAMPLE_ID"	"ID for sample collected"		""	""	""
	"SAMPLE_TYPE"	"Code identifying sample type"				
"VERIF"	"SITE_ID"	"Identification code for site"		""	""	""
"DESIGN"	"SITETYPE"	"Site type (Probability-based or hand-picked)"				"HAND|PROB"
"PHYTOPLANKTON"	"SPECIES"	"Species of taxon"				
"DESIGN"	"STATE"	"State lake is assigned to for sampling in NLA 2017"				
	"STUDY"	"Name of the study.  A unique lake may belong to multiple studies. Text. For NLA all studies are \"NLA\" but have different DSGN_CYCLE"				
"PHYTOPLANKTON"	"TARGET_TAXON"	"Name of taxon at target taxon level"				
	"TAXA_ID"	"NLA Taxon ID number"				
	"UID"	"Unique identifier for the site/visit"				
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"		""	""	"|1|2"
