"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"PROF"	"ARRIVAL_TIME"	"Time of arrival to index site"	""	""	""
"PROF"	"CALIBRATION_VERIFIED"	"Calibration verified"	""	""	"|Y|N"
"PROF"	"CONDUCTIVITY"	"Conductivity for index profile (uS/cm)"	"0"	"1500"	""
"VERIF"	"DATE_COL"	"Date collected"	""	""	
"PROF"	"DEPTH"	"Depth of profile measurement (m)"	"0"	"25"	""
"PROF"	"DEPTH_METHOD"	"Method for depth measurements"	""	""	"|LINE|SONAR|POLE|ESTIMATE"
"PROF"	"DUPLICATE_DO"	"Duplicate DO reading w/i +/-0.5 mg/L of the initial surface reading"	""	""	"|Y|N"
"PROF"	"E_FILE"	"Profile data submitted via external file"	""	""	"|Y|N"
"COLUMN"	"FLAG"	"Flag assigned by field crew"			
"PROF"	"INDEX_GPS_FIX"	"Type of GPS at the index site (2D, 3D)"	""	""	"|2D|3D"
"PROF"	"INDEX_LAT_DD"	"Lattitude in decimal degrees at index site"	""	""	""
"PROF"	"INDEX_LON_DD"	"Longitude in decimal degrees at index site"	""	""	""
"PROF"	"INDEX_SITE_DEPTH"	"Depth at index site (m)"	"0"	"25"	""
"COLUMN"	"LINE"	"Line number"			
"PROF"	"METALIMNION"	"Depth indicated for (T)op and (B)ottom of the metalimnion"	""	""	"|T|B"
"PROF"	"ODOR"	"Odor present"	""	""	"|Y|N"
"PROF"	"ODOR_DESC"	"Description of odor"	""	""	""
"PROF"	"OXYGEN"	"Dissolved oxygen for index profile (mg/L)"	"0"	"25"	""
"PROF"	"PH"	"pH for index profile (SU)"	"1"	"14"	""
"PROF"	"PRECIPITATION"	"Precipitation at index site"	""	""	"|NONE|LIGHT|HEAVY"
"COLUMN"	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
"CALIB"	"REVIEW"	"Has app form been thoroughly reviewed"	""	""	"|Y"
"PROF"	"REVIEW"	"Has app form been thoroughly reviewed"	""	""	"|Y"
"VERIF"	"REVIEW"	"Has app form been thoroughly reviewed"	""	""	"|Y"
"COLUMN"	"SAMPLE_TYPE"	"Code identifying sample type"			
"PROF"	"SCUM"	"Scum present"	""	""	"|Y|N"
"PROF"	"SCUM_DESC"	"Description of scum"	""	""	""
"VERIF"	"SITE_ID"	"Identification code for site"	""	""	""
"DESIGN"	"STATE"	"State lake is assigned to for sampling in NLA 2017"			
"COLUMN"	"STUDY"	"Name of the study.  A unique lake may belong to multiple studies. Text. For NLA all studies are \"NLA\" but have different DSGN_CYCLE"			
"PROF"	"SURFACE_COND"	"Lake surface conditions"	""	""	"|FLAT|RIPPLES|CHOPPY|WHITECAPS"
"PROF"	"TEMPERATURE"	"Temperature for index profile (C)"	"0"	"35"	""
"COLUMN"	"UID"	"Unique identifier for the site/visit"			
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"	""	""	"|1|2"
