"SAMPLE_TYPE"	"PARAMETER"	"LABEL"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"SECH"	"CLEAR_TO_BOTTOM"	"Lake clear to the bottom"	""	""	"|Y|N"
	"COMMENT"	"Additional comments"			
"VERIF"	"DATE_COL"	"Date collected"	""	""	
"SECH"	"DISAPPEARS"	"Depth at which secchi disk disappears (m)"	""	""	""
"PROF"	"INDEX_SITE_DEPTH"	"Depth at index site (m)"	""	""	""
"DESIGN"	"LAT_DD83"	"Latitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always, represents centriod of lake polygon in NHD.   No missing values allowed."			
"DESIGN"	"LON_DD83"	"Longitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always represents centriod of lake polygon in NHD.  No missing values allowed."			
"DESIGN"	"PSTL_CODE"	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."			
	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
"SECH"	"REAPPEARS"	"Depth at which secchi disk reappears (m)"	""	""	""
"VERIF"	"SITE_ID"	"Identification code for site"	""	""	""
"DESIGN"	"SITETYPE"	"Site type (Probability-based or hand-picked)"			
	"UID"	"Unique identifier for the site/visit"			
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"	""	""	"|1|2"
