"SAMPLE_TYPE"	"PARAMETER"	"LABEL"	"LEGAL_VALUES"	"RANGE_LOW"	"RANGE_HIGH"
"ALL"	"ANAL_CAT"	"Parameter group--METAL, Pesticide (PEST), PCB, PAH (if measured)"			
"BACT"	"ANALYSIS_TYPE"	"Type of laboratory analysis performed on a sample"			
"TRIA"	"ANALYST"	"Laboratory analyst"			
"BACT"	"ANALYST"	"Last name or initials of person who performed the analysis."			
	"ANALYST"	"Name/initials of laboratory personnel who analyzed the sample"			
	"ANALYTE"	"Analyte"			
"ALL"	"ANALYTE_LBL"	"EPA name for analyte"			
"BACT"	"ARRIVAL_TEMP"	"Temperature upon arrival at the analysis laboratory."			
	"BATCH_ID"	"Laboratory batch number"			
"BACT"	"BATCH_ID"	"Unique Lab QC # must be assigned to each batch of samples and the associated LRB and LD's each day."			
"ALL"	"CAS_NO"	"CAS number"			
"MICX"	"CONDITION_CODE"	"Condition of sample code"			
"BACT"	"CONDITION_CODE"	"Condition on arrival at lab - OK:  Sample is in good condition; C: Sample container is cracked; L: Sample container is leaking: ML: Sample is missing label; W: Temperature is warm (>4°);  V: Volume not sufficient for testing; Q : Other quality concerns, not identified above"			
	"DATE_ANALYZED"	"Date lab sample analyzed"			
"TRIA"	"DATE_ANALYZED"	"Date of sample analysis"			
"BACT"	"DATE_ANALYZED"	"Date that the well counting started."			
"VERIF"	"DATE_COL"	"Date collected"		""	""
"ALL"	"DILUTION"	"Sample dilution factor (if needed)"			
"ALL"	"GEN_GRP"	""			
"BACT"	"INSTRUMENT"	"IDEXX Quanti-Tray; Model 2X Sealer"			
	"LAB"	"Laboratory"			
"BENT"	"LAB"	"Laboratory used for sample processing "			
"ALL"	"LAB_ANALYTE"	"Lab name for analyte"			
	"LAB_COMMENT"	"Laboratory comment"			
"BENT"	"LAB_SAMPLE_ID"	"Laboratory Sample ID"			
"CHEM"	"LAB_SAMPLE_ID"	"Laboratory Sample ID"			
"CHLX"	"LAB_SAMPLE_ID"	"Laboratory Sample ID"			
"NUTS"	"LAB_SAMPLE_ID"	"Laboratory Sample ID"			
	"MATRIX"	"Material used for analysis"			
	"MDL"	"Method detection limit"			
"TRIA"	"MDL"	"Minimum detection limit of analyte - ppb"			
"BACT"	"MDL"	"Minimum Detection Limit: 1.0 MPN/100 ml sample"			
"BACT"	"METHOD"	"Method used to perform analysis (Must be COLILERT and Quanti-Tray 2000)"			
"ALL"	"MOISTURE"	"Moisture in sediment sample (%)"			
"ALL"	"MOISTURE_UNITS"	"Units of moisture"			
	"NARS_FLAG"	"NARS equivalent to NCCA_FLAG"			
	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
"ALL"	"RECOVERY"	""			
"GSIA"	"RESULT"	"Analyte change in equilibrated headspace gas (per mil)"			
"GSIB"	"RESULT"	"Analyte change in equilibrated headspace gas (per mil)"			
"GSAB"	"RESULT"	"Analyte concentration in air samples (ppm)"			
"GSCA"	"RESULT"	"Analyte concentration in equilibrated headspace gas (ppm)"			
"GSCB"	"RESULT"	"Analyte concentration in equilibrated headspace gas (ppm)"			
"TRIA"	"RESULT"	"Analyte value - ppb"			
"GSAA"	"RESULT"	"Anlyte change in air samples (per mil)"			
	"RESULT"	"Value of associated parameter"			
"BACT"	"REVIEWER"	"Last name or initials of the person who provided a separate independent review of the data."			
	"RL"	"Laboratory reporting limit"			
	"SAM_CODE"	"Sample code (Regular/Lab duplicate/Lab split)"			
"BACT"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"BENT"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"CHEM"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"CHLX"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"FDNA"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"GSAA"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"GSAB"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"GSCA"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"GSCB"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"GSIA"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"GSIB"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"MICX"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"MICZ"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"NUTS"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"PHYX"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"SEDC"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"SEDG"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"SEDO"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"TRIA"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"ZOCN"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
"ZOFN"	"SAMPLE_ID"	"ID for sample collected"	""	""	""
	"SAMPLE_TYPE"	"Code identifying sample type"			
"VERIF"	"SITE_ID"	"Identification code for site"	""	""	""
	"UID"	"Unique identifier for the site/visit"			
"BACT"	"UNITS"	"Unit of measurement"			
	"UNITS"	"Units"			
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"	"|1|2"	""	""
