"TABLE_NAME"	"SAMPLE_TYPE"	"COLUMN_NAME"	"DESCRIPTION"	"LABEL"	"LEGAL_VALUES"	"RANGE_HIGH"	"RANGE_LOW"	"UNITS"
"tblEVALVISITS"	"EVALVIS"	"INDEX_NLA"		"Index visit for lake (used in population estimates).  For sites visited, VISIT_NO=1 is designated as the index visit (even if no samples were collected).  Blank= not assigned (sites not evaluated or not needed). Y=Index visit, N=Not index visit"	"Y|N|"			
"tblEVALVISITS"	"EVALVIS"	"RT_NLA17"	"Disturbance category used in NLA 2017. R=reference, S=moderate, T=high disturbance, ?=unable to assign due to missing data"		"R|S|T|?"			
"tblEVALVISITS"	"EVALVIS"	"RT_NLA17_BENT"	"Disturbance category used in NLA 2017 for benthic macroinvertebrates. R=reference, S=moderate, T=high disturbance, B=reference but fewer than 250 organisms in sample, ?=unable to assign due to missing data"		"R|B|S|T|?"			
"tblEVALVISITS"	"EVALVIS"	"RT_NLA17_ZOOP"	"Disturbance category used in NLA 2017 for zooplankton. R=reference, S=moderate, T=high disturbance, B=reference but fewer than 100 organisms in sample, ?=unable to assign due to missing data"		"R|B|S|T|?"			
"tblSITEDATA"	"EVAL"	"SITESAMP"		"Did you sample this site (Y/N)"	"Y|N"			
"tblSITETRUTH"	"DESIGN"	"AG_ECO3"		"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions.  No missing values allowed."	"EHIGH|PLNLOW|WMTNS|"			
"tblSITETRUTH"	"DESIGN"	"AG_ECO3_NM"		"NARS 3-level reporting region Name.  No missing values allowed."	"Eastern Highlands|Plains and Lowlands|West|"			
"tblSITETRUTH"	"DESIGN"	"AG_ECO9"		"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions.  No missing values allowed."	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|"			
"tblSITETRUTH"	"DESIGN"	"AG_ECO9_NM"		"NARS 9-level reporting region Name.  No missing values allowed."	"Coastal Plains|Northern Appalachians|Northern Plains|Southern Appalachians|Southern Plains|Temperate Plains|Upper Midwest|Western Mountains|Xeric|"			
"tblSITETRUTH"	"DESIGN"	"AREA_CAT6"		"Lake area categories (6) used in most NLA survey designs. HAND sites also assigned area category. Based on AREA_HA.  No missing values allowed."	"(0,1]| (1,4]| (4,10]|(10,20]| (20,50]|  >50|"			
"tblSITETRUTH"	"DESIGN"	"AREA_HA"		"Surface area of lake based on NHD polygon.  No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"BORD_LAKE"		"For a border lake text of two postal codes: MM:NN, where MM is one state code and NN is other state code.  Blank if not a border lake."	"ST:ST|'Not_Border'"			
