UID,SITE_ID,VISIT_NO,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,LAB,d18O_H2O,dD_H2O,E_I,RT,PUBLICATION_DATE
6187,NLA12_AZ-101,1,5/8/2012,WMTNS,XER,AZ,WMTNS,ISIRF,-6.558900368,-53.27254785,0.052554669,0.27943333,8/13/2018
6189,NLA12_ND-115,1,5/16/2012,PLNLOW,NPL,ND,PLAINS,ISIRF,-8.223736064,-71.38832984,0.118463122,0.115655053,8/13/2018
6192,NLA12_AZ-118,1,5/9/2012,WMTNS,XER,AZ,WMTNS,ISIRF,-6.431313221,-54.98423865,0.17164115,0.00662081,8/13/2018
6194,NLA12_UT-103,1,5/9/2012,WMTNS,WMT,UT,WMTNS,ISIRF,-16.59550849,-124.8998537,0.030471508,0.343681253,8/13/2018
6195,NLA12_AZ-130,1,5/10/2012,WMTNS,XER,AZ,WMTNS,ISIRF,-9.32173808,-70.37235275,0.07140438,0.199846914,8/13/2018
6212,NLA12_FL-101,1,5/14/2012,PLNLOW,CPL,FL,CPL,ISIRF,2.595376753,19.54461857,0.846917675,1.109936936,8/13/2018
6216,NLA12_UT-101,1,5/15/2012,WMTNS,WMT,UT,WMTNS,ISIRF,-12.86074238,-94.92964357,0.020726233,0.992116767,8/13/2018
6217,NLA12_ND-112,1,5/15/2012,PLNLOW,NPL,ND,PLAINS,ISIRF,-6.394915869,-57.69507772,0.256446741,0.342325446,8/13/2018
6218,NLA12_FL-123,1,5/15/2012,PLNLOW,CPL,FL,CPL,ISIRF,0.004129106,0.119898472,0.166650519,0.048705573,8/13/2018
6222,NLA12_FL-102,1,5/16/2012,PLNLOW,CPL,FL,CPL,ISIRF,3.856263178,21.34887205,0.837765801,0.438931032,8/13/2018
6226,NLA12_GA-112,1,5/16/2012,EHIGH,SAP,GA,EHIGH,ISIRF,-1.756152918,-12.2277462,0.232601738,0.098774973,8/13/2018
6227,NLA12_UT-108,1,5/17/2012,WMTNS,WMT,UT,WMTNS,ISIRF,-14.14121327,-109.3958151,0.100816587,0.136684014,8/13/2018
6228,NLA12_FL-107,1,5/17/2012,PLNLOW,CPL,FL,CPL,ISIRF,4.382037378,21.25660735,0.912895446,0.153422839,8/13/2018
6231,NLA12_FL-110,1,5/18/2012,PLNLOW,CPL,FL,CPL,ISIRF,0.443531657,-0.499075984,0.189038472,0.025509015,8/13/2018
6232,NLA12_FL-106,1,5/20/2012,PLNLOW,CPL,FL,CPL,ISIRF,2.75836322,13.93828227,0.513961164,0.0617125,8/13/2018
6233,NLA12_FL-104,1,5/19/2012,PLNLOW,CPL,FL,CPL,ISIRF,2.672542278,13.30234503,0.48960923,0.2187072,8/13/2018
6235,NLA12_CA-168,1,5/21/2012,WMTNS,XER,CA,WMTNS,ISIRF,-6.205562992,-44.95694267,0.095345984,0.024768413,8/13/2018
6236,NLA12_OK-122,1,5/21/2012,PLNLOW,SPL,OK,PLAINS,ISIRF,1.331806469,7.325458435,0.37165371,0.242319269,8/13/2018
6237,NLA12_WI-R11,1,5/21/2012,PLNLOW,UMW,WI,UMW,ISIRF,-2.426482403,-37.06723154,0.550232772,2.389970703,8/13/2018
6243,NLA12_KS-114,1,5/22/2012,PLNLOW,TPL,KS,PLAINS,ISIRF,-1.869511008,-17.42938213,,,8/13/2018
6249,NLA12_OK-R01,1,5/22/2012,PLNLOW,SPL,OK,PLAINS,ISIRF,-2.212073245,-15.32149993,0.185305867,0.324126934,8/13/2018
6250,NLA12_CA-106,1,5/22/2012,WMTNS,XER,CA,WMTNS,ISIRF,-4.844959123,-63.73952637,0.414762199,2.54693283,8/13/2018
6251,NLA12_FL-114,1,5/21/2012,PLNLOW,CPL,FL,CPL,ISIRF,3.704023243,16.70909874,0.661076882,0.015866795,8/13/2018
6252,NLA12_PA-102,1,9/5/2012,EHIGH,SAP,PA,EHIGH,ISIRF,-6.037826882,-38.81467225,0.015477041,0.15862805,8/13/2018
6253,NLA12_WI-R08,1,5/22/2012,PLNLOW,UMW,WI,UMW,ISIRF,-7.4982359,-57.00779716,0.09085259,0.070405408,8/13/2018
