"","site_id","uid","date","name","area_ha","elevation","lat","lon","manmade_natural","lake_origin12","state","aggr_eco3_2015","aggr_eco9_2015","epa_reg","regionL1","region","eco_bio","cntyname"
"1","NLA12_AL-101",6300,"5/24/2012","Holt Lock and Dam (101)",1301.87197,57.03,33.29204144,-87.3913824,"MAN_MADE","RESERVOIR","AL","EHIGH","SAP","Region_4","EHIGH","SAP","EHIGH","TUSCALOOSA"
"3","NLA12_AL-102",7228,"7/17/2012","George Lake (102)",72.95042027,247.04,34.22781586,-86.84344912,"MAN_MADE","RESERVOIR","AL","EHIGH","SAP","Region_4","EHIGH","SAP","EHIGH","CULLMAN"
"4","NLA12_AL-103",7292,"7/19/2012","Logan Martin Lake (103)",10363.25848,141.76,33.7624784,-86.05315833,"MAN_MADE","RESERVOIR","AL","EHIGH","SAP","Region_4","EHIGH","SAP","EHIGH","TALLADEGA"
"5","NLA12_AL-104",7368,"7/23/2012","Demopolis Lake (104)",4731.474336,22.28,32.51586852,-87.86108477,"MAN_MADE","RESERVOIR","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","SUMTER"
"6","NLA12_AL-105",6267,"5/23/2012","Emmit Wood Lake (105)",32.56146308,50.83,31.62154629,-88.35373896,"MAN_MADE","RESERVOIR","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","WASHINGTON"
"8","NLA12_AL-106",NA,"","Unnamed (106)",2.259936169,96.12,31.39484325,-86.00721724,"MAN_MADE","MAN_MADE","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","COFFEE"
"9","NLA12_AL-107",NA,"","Harrell Lake (107)",13.35993011,77.74,32.18713577,-86.50841536,"MAN_MADE","MAN_MADE","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","LOWNDES"
"10","NLA12_AL-108",NA,"","Unnamed (108)",2.666005278,181.48,33.86882068,-86.62367709,"","","AL","EHIGH","SAP","Region_4","EHIGH","SAP","EHIGH","BLOUNT"
"11","NLA12_AL-109",NA,"","unnamed (109)",10.65408828,83.23,31.07411321,-87.40975524,"","","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","ESCAMBIA"
"12","NLA12_AL-110",NA,"","unnamed (110)",12.81513476,181.82,34.87348351,-85.77044459,"","","AL","EHIGH","SAP","Region_4","EHIGH","SAP","EHIGH","JACKSON"
"13","NLA12_AL-111",NA,"","Lake Lenora (111)",4.177936778,122.24,32.34571752,-85.23421352,"","","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","RUSSELL"
"14","NLA12_AL-112",7375,"7/22/2012","Shepherds Lake (112)",5.55544262,78.07,33.36486204,-88.16688028,"MAN_MADE","RESERVOIR","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","PICKENS"
"15","NLA12_AL-113",7769,"8/8/2012","Salco Lake (113)",29.40501835,13.99,30.97184148,-88.0527428,"MAN_MADE","RESERVOIR","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","MOBILE"
"16","NLA12_AL-114",7459,"7/26/2012","Lees Lake (114)",18.10471487,171.04,33.88200988,-85.9316179,"MAN_MADE","RESERVOIR","AL","EHIGH","SAP","Region_4","EHIGH","SAP","EHIGH","CALHOUN"
"17","NLA12_AL-R03",7291,"7/18/2012","NO NAME (R03)",22.42053898,317.68,33.32192301,-85.81071637,"MAN_MADE","MAN_MADE","AL","EHIGH","SAP","Region_4","EHIGH","SAP","EHIGH","CLAY"
"18","NLA12_AL-R05",7376,"7/21/2012","LAKE LURLEEN (R05)",91.03472955,71.04,33.28949519,-87.68596227,"MAN_MADE","MAN_MADE","AL","PLNLOW","CPL","Region_4","PLNLOW","CPL","CPL","TUSCALOOSA"
"19","NLA12_AR-101",7392,"7/23/2012","Ferguson Lake (101)",105.7849996,74.14,34.53435079,-92.26882632,"MAN_MADE","RESERVOIR","AR","PLNLOW","CPL","Region_6","PLNLOW","CPL","CPL","SALINE"
"21","NLA12_AR-102",8144,"8/21/2012","Lake Hogue (102)",95.89252695,69.01,35.58318947,-90.96294056,"MAN_MADE","RESERVOIR","AR","PLNLOW","CPL","Region_6","PLNLOW","CPL","CPL","POINSETT"
"22","NLA12_AR-103",8217,"8/24/2012","Lake Hamilton (103)",2428.921192,118.4,34.41755034,-93.07012469,"MAN_MADE","RESERVOIR","AR","EHIGH","SAP","Region_6","EHIGH","SAP","EHIGH","GARLAND"
"23","NLA12_AR-104",7812,"8/9/2012","Horsehead Lake (104)",44.682124,203.73,35.5624593,-93.63756822,"MAN_MADE","RESERVOIR","AR","EHIGH","SAP","Region_6","EHIGH","SAP","EHIGH","JOHNSON"
"24","NLA12_AR-105",7409,"7/24/2012","Wingfield Lake Number 3 (105)",7.29500254,55.37,33.07556301,-92.66059625,"MAN_MADE","RESERVOIR","AR","PLNLOW","CPL","Region_6","PLNLOW","CPL","CPL","UNION"
"26","NLA12_AR-106",8121,"8/20/2012","Lake Charles (106)",222.5927542,82.69,36.06720319,-91.14242843,"MAN_MADE","RESERVOIR","AR","EHIGH","SAP","Region_6","EHIGH","SAP","EHIGH","LAWRENCE"
"27","NLA12_AR-107",1000181,"8/28/2012","unnamed (107)",62.35713698,42.28,34.15969851,-91.06794934,"MAN_MADE","MAN_MADE","AR","PLNLOW","CPL","Region_6","PLNLOW","CPL","CPL","PHILLIPS"
"28","NLA12_AR-108",1000182,"8/28/2012","unnamed (108)",6.393528636,30.42,33.1461337,-91.25357855,"","","AR","PLNLOW","CPL","Region_6","PLNLOW","CPL","CPL","CHICOT"
"29","NLA12_AR-109",7811,"8/8/2012","Lake Hospitality (109)",4.149225261,107.3,33.81796398,-94.05998348,"MAN_MADE","MAN_MADE","AR","PLNLOW","CPL","Region_6","PLNLOW","CPL","CPL","SEVIER"
"30","NLA12_AR-110",1000183,"8/28/2012","unnamed (110)",68.09260195,64.95,34.49339339,-91.93537803,"MAN_MADE","MAN_MADE","AR","PLNLOW","CPL","Region_6","PLNLOW","CPL","CPL","LONOKE"
"31","NLA12_AR-111",8145,"8/22/2012","Boswell Lake (111)",2.061803018,120,34.60033557,-92.50069818,"MAN_MADE","MAN_MADE","AR","PLNLOW","CPL","Region_6","PLNLOW","CPL","CPL","SALINE"
"32","NLA12_AZ-101",6187,"5/8/2012","Saguaro Lake (101)",373.4884097,459,33.5692971,-111.5241427,"MAN_MADE","RESERVOIR","AZ","WMTNS","XER","Region_9","WMTNS","XER","WMTNS","MARICOPA"
"34","NLA12_AZ-102",8648,"9/19/2012","Willow Creek Reservoir (102)",119.179815,1567,34.60431345,-112.4386225,"MAN_MADE","RESERVOIR","AZ","WMTNS","WMT","Region_9","WMTNS","WMT","WMTNS","YAVAPAI"
"35","NLA12_AZ-103",7821,"8/9/2012","Ashurst Lake (103)",81.45252873,2168,35.02357175,-111.4006586,"MAN_MADE","RESERVOIR","AZ","WMTNS","WMT","Region_9","WMTNS","WMT","WMTNS","COCONINO"
"36","NLA12_AZ-104",NA,"","Tsaile Lake (104)",105.1885899,2142.7,36.27620301,-109.2032708,"MAN_MADE","RESERVOIR","AZ","WMTNS","WMT","Region_9","WMTNS","WMT","WMTNS","APACHE"
"37","NLA12_AZ-105",NA,"","Soldier Annex Lake (105)",49.38286557,2066,34.78637532,-111.2304201,"MAN_MADE","RESERVOIR","AZ","WMTNS","WMT","Region_9","WMTNS","WMT","WMTNS","COCONINO"
"38","NLA12_AZ-106",8218,"8/23/2012","Oxbow lake (106)",55.00641968,69.11,33.40602291,-114.7138943,"MAN_MADE","MAN_MADE","AZ","WMTNS","XER","Region_9","WMTNS","XER","WMTNS","LA PAZ"
"39","NLA12_AZ-107",7475,"7/26/2012","Lyman Lake (107)",529.2331386,1822,34.3606808,-109.363087,"MAN_MADE","RESERVOIR","AZ","WMTNS","XER","Region_9","WMTNS","XER","WMTNS","APACHE"
"40","NLA12_AZ-108",NA,"","Unnamed (108)",10.14637002,1756.67,36.7262949,-110.2795479,"","","AZ","WMTNS","XER","Region_9","WMTNS","XER","WMTNS","NAVAJO"
"41","NLA12_AZ-109",NA,"","Unnamed (109)",2.524544732,2822.09,33.97999027,-109.313073,"","","AZ","WMTNS","WMT","Region_9","WMTNS","WMT","WMTNS","APACHE"
"42","NLA12_AZ-110",NA,"","Phillips Park Tank (110)",10.90748612,1723.06,33.62503157,-110.227374,"MAN_MADE","MAN_MADE","AZ","WMTNS","WMT","Region_9","WMTNS","WMT","WMTNS","GILA"
